"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","playlist.extracteddate"
0,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1263433,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
1,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",807618,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
2,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",117952,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
3,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",267613,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
4,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",91292,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
5,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3200210,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
6,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",332490,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
7,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",501651,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
8,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",769867,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
9,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",138780,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
10,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",192668,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
11,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",168515,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
12,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",16931,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
13,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",131285,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
14,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",816680,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
15,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2129945,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
16,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17005480,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
17,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",79312,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
18,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",74538,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
19,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",104714,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
20,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",68322,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
21,"37i9dQZEVXbKMzVsSGQ49S","Top 50 - Iceland","Your daily update of the most played tracks right now - Iceland.",39722,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
22,"37i9dQZEVXbLZ52XmnySJg","Top 50 - India","Your daily update of the most played tracks right now - India.",349947,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
23,"37i9dQZEVXbObFQZ3JLcXt","Top 50 - Indonesia","Your daily update of the most played tracks right now - Indonesia.",620452,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
24,"37i9dQZEVXbKM896FDX8L1","Top 50 - Ireland","Your daily update of the most played tracks right now - Ireland.",239751,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
25,"37i9dQZEVXbJ6IpvItkve3","Top 50 - Israel","Your daily update of the most played tracks right now - Israel.",48557,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
26,"37i9dQZEVXbIQnj7RRhdSX","Top 50 - Italy","Your daily update of the most played tracks right now - Italy.",1024869,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
27,"37i9dQZEVXbKXQ4mDTEBXq","Top 50 - Japan","Your daily update of the most played tracks right now - Japan.",920586,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
28,"37i9dQZEVXbKGcyg6TFGx6","Top 50 - Luxembourg","Your daily update of the most played tracks right now - Luxembourg.",7347,"Spotify","spotify:user:spotify",100,29,"2022-11-01"
29,"37i9dQZEVXbJlfUljuZExa","Top 50 - Malaysia","Your daily update of the most played tracks right now - Malaysia.",201300,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
30,"37i9dQZEVXbO3qyFxbkOE1","Top 50 - Mexico","Your daily update of the most played tracks right now - Mexico.",1557223,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
31,"37i9dQZEVXbJU9eQpX8gPT","Top 50 - Morocco","Your daily update of the most played tracks right now - Morocco.",24194,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
32,"37i9dQZEVXbKCF6dqVpDkS","Top 50 - Netherlands","Your daily update of the most played tracks right now - Netherlands.",903764,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
33,"37i9dQZEVXbM8SIrkERIYl","Top 50 - New Zealand","Your daily update of the most played tracks right now - New Zealand.",210666,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
34,"37i9dQZEVXbISk8kxnzfCq","Top 50 - Nicaragua","Your daily update of the most played tracks right now - Nicaragua.",15512,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
35,"37i9dQZEVXbJvfa0Yxg7E7","Top 50 - Norway","Your daily update of the most played tracks right now - Norway.",520183,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
36,"37i9dQZEVXbKypXHVwk1f0","Top 50 - Panama","Your daily update of the most played tracks right now - Panama.",93296,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
37,"37i9dQZEVXbJfdy5b0KP7W","Top 50 - Peru","Your daily update of the most played tracks right now - Peru.",448196,"Spotify","spotify:user:spotify",100,50,"2022-11-01"
